sample_id,degree,train_error,test_error,train_r2,test_r2,error_difference
9,6,4911.085566316475,21060.65013915595,0.9981470999614709,0.9929290062578857,-16149.564572839476
9,7,4480.333049633477,12654547.886762453,0.9983096182772243,-3.248692624650774,-12650067.55371282
9,8,4451.562223381476,29126279.056664933,0.9983204732021388,-8.778982869946885,-29121827.49444155
9,9,4378.565653031125,1108988993.007609,0.9983480140271128,-371.33675968298655,-1108984614.4419558
9,10,3324.63751423559,171386640934.00528,0.9987456498374874,-57541.091887904964,-171386637609.36777
10,1,35188.94764861419,1848805.7909580378,0.8914642053585566,0.3792739496705413,-1813616.8433094237
10,2,22604.49601515963,2753558.1832358907,0.9302793319660041,0.07550846941761435,-2730953.6872207313
10,3,6896.945750484422,2778910.7044971436,0.9787272556399613,0.06699650430729509,-2772013.7587466594
10,4,4237.992700387071,6481690.277669535,0.9869284552066091,-1.176190720081956,-6477452.284969148
10,5,4225.343238046217,10438319.757846486,0.9869674708504034,-2.5046066098735307,-10434094.41460844
10,6,3941.6087696722693,507511584.6450186,0.9878426134178835,-169.3941338640567,-507507643.0362489
10,7,3127.2629955625516,87968512890.62749,0.9903543584859228,-29533.928885991692,-87968509763.36449
10,8,3125.7935854325406,47178920209.51512,0.9903588906929586,-15839.05466863322,-47178917083.721535
10,9,2895.877861728134,188205029507386.7,0.991068036246898,-63188769.38876113,-188205029504490.8
10,10,2835.9076878624955,5525828632536023.0,0.9912530065546289,-1855265597.2833679,-5525828632533187.0
11,1,121571.18942522883,1728047.9725918486,0.8774490891688322,0.41981770175496347,-1606476.7831666197
11,2,109205.77373318013,1400682.2018733432,0.8899141556293246,0.529728901116719,-1291476.428140163
11,3,18507.731338202324,2696838.818644229,0.9813431180229569,0.09455167413514975,-2678331.0873060264
11,4,8409.484746752165,3489991.7638916834,0.9915227446551459,-0.17174492522562335,-3481582.279144931
11,5,7354.816073545428,180870.1701058031,0.9925859127226598,0.9392738670220118,-173515.35403225766
11,6,6401.6524858048415,45515579.25270415,0.9935467576925986,-14.281597383653883,-45509177.60021835
11,7,6048.578853444353,1278728025.6127381,0.9939026766849258,-428.3256764264415,-1278721977.0338848
11,8,5064.4762068703685,65681540804.37808,0.9948947100462773,-22051.20451085235,-65681535739.90188
11,9,4577.437637553574,1360207177868.1204,0.9953856735760567,-456680.8393133328,-1360207173290.6826
11,10,3889.687147550777,53359982856130.88,0.9960789665295344,-17915310.367977813,-53359982852241.195
12,1,497986.1362515505,1773047.5086481953,0.8070812655763148,0.40470936294537996,-1275061.3723966447
12,2,153108.85577047878,890018.9006635736,0.9406859658651645,0.7011812059279697,-736910.0448930948
12,3,10348.62047357736,3634163.8375677927,0.9959909671786824,-0.22014988062897345,-3623815.2170942156
12,4,10022.275839618134,4361079.956814173,0.9961173923724504,-0.46420784162595097,-4351057.680974554
12,5,7044.670546295022,299416.1367918973,0.9972709101171914,0.8994727315845163,-292371.4662456023
12,6,6909.924085627432,5691307.608196335,0.9973231105998308,-0.9108242250880594,-5684397.684110708
12,7,6609.2451860961355,52553128.083730645,0.9974395929445043,-16.644414457923276,-52546518.83854455
12,8,6400.69050853138,2986047002.002508,0.9975203865681116,-1001.5483318562406,-2986040601.312
12,9,6350.533950843803,35513370079.62366,0.9975398171082969,-11922.4124272134,-35513363729.08971
12,10,6347.103410963341,3426864977.5437546,0.9975411460919049,-1149.550465022512,-3426858630.4403434
13,1,719995.8171238201,1716860.1385186156,0.7457698992914803,0.4235739535419186,-996864.3213947956
13,2,255729.21800267557,1018050.8557870038,0.9097021631227747,0.6581952037159455,-762321.6377843282
13,3,20181.34583334974,1797466.7092513184,0.9928739786237346,0.39651075494841737,-1777285.3634179686
13,4,20106.821165853897,1850484.3189129687,0.9929002932401145,0.37871039343714596,-1830377.4977471149
13,5,3772.4850157436604,60331.05993923434,0.9986679377537148,0.9797441890698184,-56558.57492349068
13,6,3534.4019223112105,64303.92844707208,0.9987520047543568,0.9784103210186639,-60769.52652476087
13,7,3325.808579359523,1285238.313582685,0.9988256589414013,0.5684885313406174,-1281912.5050033256
13,8,3151.7322012184386,30365246.173984233,0.9988871252084174,-9.194959047100228,-30362094.441783015
13,9,3001.589333922073,1574682488.416789,0.9989401405667925,-527.6907074492726,-1574679486.827455
13,10,2964.1522920957086,55265958206.51091,0.9989533595643024,-18554.231773383744,-55265955242.35862
14,1,518183.58327712555,1712886.3576299676,0.7684789671971959,0.4249081279197515,-1194702.774352842
14,2,201365.46258342502,964214.9099907373,0.9100312295243126,0.6762703169394664,-762849.4474073123
