,gram_count,document_count,Average_freq,maha_dist,zscore_gram_count,zscore_document_count,zscore_Average_freq
provided,34,8,4.25,2.5649546849368043,2.2865225403880136,2.610777522845187,1.347858285439754
time,90,11,8.181818181818182,3.7245203015289112,3.1111089326165007,3.0928663958147458,2.253609271369791
been,58,12,4.833333333333333,4.234628007000348,2.7389315359319832,3.224587938285373,1.5257149759969364
systems,17,6,2.8333333333333335,1.7486677593322508,1.6993734988405087,2.1752721023412476,0.7871666939482935
8,75,13,5.769230769230769,4.6163952190336275,2.9566685333371714,3.3457600112148747,1.7704801919011683
14,46,13,3.5384615384615383,4.725839384232604,2.5425777176664672,3.3457600112148747,1.0944855420644664
30,75,10,7.5,3.334278486172846,2.9566685333371714,2.94858177084582,2.133286840495753
31,24,8,3.0,2.6031401720159586,1.991479947069009,2.610777522845187,0.8662073842128154
problem,84,13,6.461538461538462,4.588688472979279,3.052666657291296,3.3457600112148747,1.9271951339658444
current,27,6,4.5,1.7337555192974885,2.091251248800821,2.1752721023412476,1.4268989757042763
methods,78,15,5.2,5.489006836861792,2.98989149778486,3.5623921862860053,1.6268310479364088
assume,25,11,2.272727272727273,3.934273541186202,2.0260593201500083,3.0928663958147458,0.4822883314288678
available,73,16,4.5625,5.950410644176648,2.93377316633294,3.660093358789312,1.4459728727762544
before,29,10,2.9,3.468829667952046,2.151782494384479,2.94858177084582,0.8193271112054593
result,50,12,4.166666666666667,4.265250941343207,2.613208361697513,3.224587938285373,1.3204745071752995
easily,14,7,2.0,2.2135290804982004,1.5349084025566282,2.408631991843541,0.30551579272135426
new,79,11,7.181818181818182,3.741481447589383,3.0006824336571296,3.0928663958147458,2.0733403069982295
more,188,19,9.894736842105264,6.975272319512911,3.7350932127873206,3.9202476248119167,2.5164705379773835
29,37,9,4.111111111111111,2.991250274641267,2.358149159854792,2.7890825177814342,1.3019126766203444
work,72,11,6.545454545454546,3.7563378105822904,2.922089160256172,3.0928663958147458,1.9450384217073236
dynamic,25,3,8.333333333333334,1.4543941556711901,2.0260593201500083,1.1259562663971225,2.278983113795769
study,222,17,13.058823529411764,6.083365117235496,3.87590741458946,3.751869503169961,2.900153564996797
there,115,15,7.666666666666667,5.377162802732268,3.318746531574301,3.5623921862860053,2.163680055450528
allocates,7,1,7.0,1.3643281590068304,0.9477593610091233,-0.5371699849871888,2.037881040731436
among,77,12,6.416666666666667,4.173731412206062,2.978961320191146,3.224587938285373,1.9175586098573982
different,203,16,12.6875,5.674148576688634,3.8001182461542706,3.660093358789312,2.8602632088780093
minimizes,8,6,1.3333333333333333,1.8150128756359525,1.0608707338818455,2.1752721023412476,-0.25517579877010677
while,61,12,5.083333333333333,4.22389554629836,2.7816503526593803,3.224587938285373,1.5954525564074111
these,150,16,9.375,5.735444248029973,3.543817574884676,3.660093358789312,2.441857690158221
steps,25,7,3.5714285714285716,2.1575882153083277,2.0260593201500083,2.408631991843541,1.1073094572771482
ple,11,6,1.8333333333333333,1.7875941634100148,1.3306255684213535,2.1752721023412476,0.18519336184731613
done,31,10,3.1,3.4592578008400032,2.2082752245211696,2.94858177084582,0.9115503189702033
far,24,6,4.0,1.7315286670834846,1.991479947069009,2.1752721023412476,1.264024399341824
do,50,14,3.5714285714285716,5.1532040353258335,2.613208361697513,3.4579478277876654,1.1073094572771482
them,34,10,3.4,3.4455060935456014,2.2865225403880136,2.94858177084582,1.039287435777286
well,47,13,3.6153846153846154,4.7215678271127155,2.5607951296923113,3.3457600112148747,1.1242250885535499
algorithms,63,6,10.5,2.1577778640883496,2.8089777873834496,2.1752721023412476,2.598572632222897
task,37,7,5.285714285714286,2.1431616926573387,2.358149159854792,2.408631991843541,1.6494392182136544
stream,43,1,43.0,10.789380615720173,2.4854497591456743,-0.5371699849871888,4.548128655284158
quality,21,3,7.0,1.1620097555575348,1.8783685741962868,1.1259562663971225,2.037881040731436
using,277,17,16.294117647058822,6.100600231421202,4.0633995453986875,3.751869503169961,3.206230571578635
our,126,10,12.6,3.4048763205540977,3.3961268289309547,2.94858177084582,2.8506933740518896
memory,54,2,27.0,6.16725534692533,2.6784002903483257,0.5121458509569364,3.9046077804366766
practical,15,8,1.875,2.6539573180616016,1.593350677881833,2.610777522845187,0.2162696272548135
upon,16,8,2.0,2.647568143136568,1.6480197754293502,2.610777522845187,0.30551579272135426
obtain,53,12,4.416666666666667,4.253428328123724,2.6625666141964617,3.224587938285373,1.4010508284842742
smallest,30,5,6.0,1.4262672619459456,2.1804997194293376,1.899265934901694,1.8247159908332848
possible,67,11,6.090909090909091,3.768860299802224,2.861122063358291,3.0928663958147458,1.845510903203225
when,182,18,10.11111111111111,6.548842864841775,3.707618036367489,3.8383983537255593,2.5463839626260367
minibatch,33,1,33.0,8.159008638164078,2.2612347816085165,-0.5371699849871888,4.182102364691647
multiple,34,9,3.7777777777777777,3.0026077422912807,2.2865225403880136,2.7890825177814342,1.184983709077302
seen,24,9,2.6666666666666665,3.0484473852543363,1.991479947069009,2.7890825177814342,0.7033328078503631
